 ;;;;;;;
Date;Week;Foreign.intelligence.gathering.aircraft;Foreign.UAVs;podyom avitasii;podyomov istrebitelij;vilet;URL
2019-08-16;33;28;;;19;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-61/
2019-08-23;34;27;;;20;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-62/
2019-08-30;35;27;;;18;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-63/
2019-09-06;36;31;;;23;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-64/
2019-09-13;37;27;;;17;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-65/
2019-09-20;38;29;;;21;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-66/
2019-09-27;39;27;;;20;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-67/
2019-10-04;40;42;;;27;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-67/
2019-10-11;41;29;;;16;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-69/
2019-10-18;42;23;;;14;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-70/
2019-10-25;43;19;;;11;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-71/
2019-11-01;44;20;;;12;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-72/
2019-11-08;45;19;;;11;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-73/
2019-11-15;46;12;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-74/
2019-11-22;47;28;;;19;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-75/
